identifier,product_description,brand,name,rd_unit_count,rd_size_value,rd_size_uom
30580,Fabri-Kal 3.25oz Plastic Portion Cups #PC325-RD (125CT) - 20/CS,Fabri-Kal,Plastic Portion Cups #PC325-RD (3.25 oz),125,1,each
420724,Lagunitas IPA 24/12oz,Lagunitas,IPA,24,12,oz
55230,Poly King Bib Lobster Adult 500CT 4/CS,Poly KIng,Bib Lobster Adult,500,1,each
761474,Rerobox Heavy Duty Black Plastic Bowl 40 oz RO-40 (120 CT),Rerobox,Heavy Duty Black Plastic Bowl (40 oz),120,1,each
43322,Soft Touch 3PLY White Dinner Napkin Code ST-377,Soft Touch,3PLY White Dinner Napkin Code ST-377,1,1,each
30579,Fabri-Kal 2oz Portion Cup #PC200 (250CT) - 10/CS,Fabri,Fabri-Kal 2oz Portion Cup #PC200  - ,250,1,each
30544,Fabri-Kal Clear Deli Container 16oz #PK16SC (500CT),Fabri,Fabri-Kal Clear Deli Container  #PK16SC (16oz),500,1,each
55625,"BagCraft Papercon 12""x12"" White Grease Resistant Sandwich Wrap #EW1212 (1000CT) - 5/CS",BagCraft,"BagCraft Papercon 12""x12"" White Grease Resistant Sandwich Wrap #EW1212  - ",1000,1,each
55624,"BagCraft 14""x14"" Grease Resistant White Paper Sandwich Wrap Liner (4-1000CT) - 4/CS",BagCraft,"BagCraft 14""x14"" Grease Resistant White Paper Sandwich Wrap Liner  - ",4-1000,1,each
55623,"BagCraft Grease Resistant Sandwich Wrap 15""x16"" (1000CT) - 4/CS",BagCraft,"BagCraft Grease Resistant Sandwich Wrap 15""x16""  - ",1000,1,each
59659,"Sunset Bakery Pan Liners 16""x24"" (1000CT)",Sunset,"Sunset Bakery Pan Liners 16""x24"" ",1000,1,each
30602,Fabri-Kal 1.5oz Clear Portion Cups #PC150S (2500CT),Fabri,Fabri-Kal  Clear Portion Cups #PC150S (1.5oz),2500,1,each
60515,"Tongs 12"" Hinged",Tongs,"Tongs 12"" Hinged",1,1,each
60415,Can Opener Swing Away 1EA,Can,Can Opener Swing Away 1EA,1,1,each
82956,Biogest Enzyme Drain Cleaner 1GAL 4/CS,Biogest,Biogest Enzyme Drain Cleaner 1GAL ,1,1,each
30578,Fabri-Kal 1oz Plastic Portion Cup #PC100-RD (250CT) - 10/CS,Fabri,Fabri-Kal 1oz Plastic Portion Cup #PC100-RD  - ,250,1,each
30601,Fabri-Kal 1oz Squat Portion Cups #PC100S (250CT) - 10/CS,Fabri,Fabri-Kal 1oz Squat Portion Cups #PC100S  - ,250,1,each
30600,Fabrikal Plastic Dome Lid Dlkc16/24 (1000 CT),Fabrikal,Fabrikal Plastic Dome Lid Dlkc16/24 ,1000 ,1,each
61210,Cambro Lexan Half (1/2) Pan 6 inch Deep Clear Plastic,Cambro,Cambro Lexan Half (1/2) Pan 6 inch Deep Clear Plastic,1,1,each
61213,Cambro Lexan Third (1/3) Pan 6 inch Deep Clear Plastic,Cambro,Cambro Lexan Third (1/3) Pan 6 inch Deep Clear Plastic,1,1,each
56996,Qualite Natural Finish Fry Pan 10 inch 1025RD,Qualite,Qualite Natural Finish Fry Pan 10 inch 1025RD,1,1,each
56990,Qualite Teflon Coated Fry Pan 10 inch SEW1025RD,Qualite,Qualite Teflon Coated Fry Pan 10 inch SEW1025RD,1,1,each
840445,Amana #Rcs10ts 1000watt Micro S/S Touch Med Vol - Microwave Amana Rcs10ts Touch Stainless Steel Medium Volume 1000watt,Amana,Amana #Rcs10ts 1000watt Micro S/S Touch Med Vol Microwave Amana Rcs10ts Touch Stainless Steel Medium Volume 1000watt,1,1,each
55536,"Market Wax 10x10.75"" Deli Paper - 12/CS (500 CT) Code MW10",Market,"Market Wax 10x10.75"" Deli Paper -   Code MW10",500 ,1,each
55538,"ArtisanWax Interfolded Dry Wax Deli Paper, Heavy Weight (500CT) - 12/CS",ArtisanWax,"ArtisanWax Interfolded Dry Wax Deli Paper, Heavy Weight  - ",500,1,each
55539,"Bagcraft Paper Poly Clear 10""x10.75"" - 10/CS (1000 CT)",Bagcraft,"Bagcraft Paper Poly Clear 10""x10.75"" -  ",1000 ,1,each
55141,Libbey Double Rocks Glasses 12oz (36 CT),Libbey,Libbey Double Rocks Glasses  (12oz),36 ,1,each
58369,Fabri-Kal 12oz Plastic Deli Container #PK12SC (500CT),Fabri,Fabri-Kal  Plastic Deli Container #PK12SC (12oz),500,1,each
41230,Old Country Large Hot Dogs Buns (12CT),Old,Old Country Large Hot Dogs Buns ,12,1,each
30594,Fabri-Kal Clear Plastic Flat Lids X-Slot #LKC16/24 (1000 CT),Fabri,Fabri-Kal Clear Plastic Flat Lids X-Slot #LKC16/24 ,1000 ,1,each
420051,Sapporo Bottle 20.3 oz. 12 CT,Sapporo,Sapporo Bottle 20.3 oz. 12 CT,1,1,each
56716,International Paper 12oz Hot Paper Cup White #SMR-12 (600CT),International,International Paper  Hot Paper Cup White #SMR-12 (12oz),600,1,each
43227,Soga Firm Tofu - 12/CS,Soga,Soga Firm Tofu ,1,1,each
60845,Cambro Square Clear Container 12 Quart,Cambro,Cambro Square Clear Container 12 Quart,1,1,each
55537,"Market Wax Interfolded Dry Wax Paper 12x10.75"" MW12 (500 CT) - 12/CS",Market,"Market Wax Interfolded Dry Wax Paper 12x10.75"" MW12  - ",500 ,1,each
55610,"Bagcraft Menu Tissue 12x12"" 1000CT - 10/CS",Bagcraft,"Bagcraft Menu Tissue 12x12"" 1000CT ",1,1,each
55622,"BagCraft Grease Resistant Sandwich Wrap Yellow 12""x12"" (1000CT) - 5/CS",BagCraft,"BagCraft Grease Resistant Sandwich Wrap Yellow 12""x12""  - ",1000,1,each
440526,Dr Pepper Diet 12pk - 2/CS,Dr,Dr Pepper Diet 12pk ,1,1,each
32758,Dart-Clear Plastic Cups-12oz-TP12-20/CS,Dart,Dart-Clear Plastic Cups-12oz-TP12-,1,1,each
50019,Dart J Cup Form Cup 12J16 1000 PCS 12oz,Dart,Dart J Cup Form Cup 12J16 1000 PCS 12oz,1,1,each
60895,"Strainer Double Mesh 14""",Strainer,"Strainer Double Mesh 14""",1,1,each
55542,BagCraft Premium Silicone Parchment Pan Liner Heavy Duty (1000CT),BagCraft,BagCraft Premium Silicone Parchment Pan Liner Heavy Duty ,1000,1,each
761509,Bowl Clr 16z (200 CT),Bowl,Bowl Clr 16z ,200 ,1,each
761374,Sol Pak Clear Container With Lid 16oz 1 Compartment (252 CT),Sol,Sol Pak Clear Container With Lid  1 Compartment (16oz),252 ,1,each
56286,Dart-16oz Clear Plastic Cups-TP16D,Dart,Dart-16oz Clear Plastic Cups-TP16D,1,1,each
42936,Libbey 3716 16z Embassy Royal Ice-Tea - Embassy Royale Iced Tea (36 CT),Libbey,Libbey 3716 16z Embassy Royal Ice-Tea - Embassy Royale Iced Tea ,36 ,1,each
56798,International SMR-16 Carte Blanc RD Paper Hot White Paper Cup 16oz 600CT,International,International SMR-16 Carte Blanc RD Paper Hot White Paper Cup 16oz 600CT,1,1,each
44650,Pulmuone Soga All Natural Tofu Firm 18oz - 12/CS,Pulmuone,Pulmuone Soga All Natural Tofu Firm 18oz ,1,1,each
55609,Paper Roll 18in,Paper,Paper Roll 18in,1,1,each
41146,Melody 90140 Paper Napkins 18/180pk,Melody,Melody 90140 Paper Napkins 18/180pk,1,1,each
43209,Pulmuone Soga Tofu Soft 18oz 12/CS,Pulmuone,Pulmuone Soga Tofu Soft 18oz ,1,1,each
51900,Libbey #3796 Fluted Champagne 6 Oz 1dz - Embassy Royale Tall Flute Â Â Â Â (12 CT),Libbey,Libbey #3796 Fluted Champagne 6 Oz 1dz - Embassy Royale Tall Flute Â Â Â Â ,12 ,1,each
50399,Soft Touch 1/4-Fold Lunch Napkin #ST-151 (6000CT),Soft,Soft Touch 1/4-Fold Lunch Napkin #ST-151 ,6000,1,each
440801,Coca Cola 2 Liter 4-Pack,Coca,Coca Cola 2 Liter 4-Pack,1,1,each
440802,Diet Coke 2 Liter 4-Pack,Diet,Diet Coke 2 Liter 4-Pack,1,1,each
440803,Sprite 2 Liter 4-Pack,Sprite,Sprite 2 Liter 4-Pack,1,1,each
440126,Minute Maid lemonade,Minute,Minute Maid lemonade,1,1,each
420092,Shock Top Belgian White 2/12 pack (12 ounce) bottles Belgian Wheat Ale,Shock,Shock Top Belgian White 2/12 pack (12 ounce) bottles Belgian Wheat Ale,1,1,each
440185,Vitamin Water Variety Pack 20oz (12CT),Vitamin,Vitamin Water Variety Pack  (20oz),12,1,each
56441,International Paper 20oz SoHo-Design Hot Paper Cup #SMR-20 (500CT),International,International Paper  SoHo-Design Hot Paper Cup #SMR-20 (20oz),500,1,each
56451,International Paper Hot White Paper Cup 20oz #SMR-20-WH (500CT),International,International Paper Hot White Paper Cup  #SMR-20-WH (20oz),500,1,each
32675,Solo - wax paper portion cups,Solo,Solo wax paper portion cups,1,1,each
480361,Teleras Fresh bread rolls 22z 6pk,Teleras,Teleras Fresh bread rolls 22z 6pk,1,1,each
30591,Fabri-Kal 24oz Clear Plastic Drink Cups #KC24 (600CT),Fabri,Fabri-Kal  Clear Plastic Drink Cups #KC24 (24oz),600,1,each
420725,Trumer PILS 12oz (24CT),Trumer,Trumer PILS  (12oz),24,1,each
761518,Rerobox Heavy Duty Black Plastic Bowl with Clear Lid 25 oz RO-25(125 CT),Rerobox,Rerobox Heavy Duty Black Plastic Bowl with Clear Lid  RO-25(25 oz),125 ,1,each
43321,Soft Touch ST-200 1/4 Fold Cocktail Napkins 2 ply 10x 9.5” 12PK/250 EA,Soft,Soft Touch ST-200 1/4 Fold Cocktail Napkins 2 ply 10x 9.5” 12PK/250 EA,1,1,each
761554,Foil To Go Container 3 Compartment 250 CT,Foil,Foil To Go Container 3 Compartment 250 CT,1,1,each
50102,"Register Roll 1300sp 3""x165' - 3/CS (10 CT)",Register,"Register Roll 1300sp 3""x165' -  ",10 ,1,each
50089,"NCCO Register Roll 2-Ply #2300SP 3""x100' - (30CT)",NCCO,"NCCO Register Roll 2-Ply #2300SP 3""x100' - ",30,1,each
30577,Fabri-Kal .75oz Clear Plastic Portion Cups #PC075 (250CT) - 10/CS,Fabri,Fabri-Kal . Clear Plastic Portion Cups #PC075  - (75oz),250,1,each
761568,Dart - 075pc - clear portion containers,Dart,Dart 075pc clear portion containers,1,1,each
3290006,"Sabert 6.5 "" x 9"" Oval Pulp Bowl",Sabert,"Sabert 6.5 "" x 9"" Oval Pulp Bowl",1,1,each
761443,Rerobox Black Plastic Rectangular Container with Clear Lid 30oz 2 Compartment Re232 (120 CT),Rerobox,Rerobox Black Plastic Rectangular Container with Clear Lid  2 Compartment Re232 (30oz),120 ,1,each
30546,Fabri-Kal 32oz Poly-Pro Deli Containers #PK32T-C (500CT),Fabri,Fabri-Kal  Poly-Pro Deli Containers #PK32T-C (32oz),500,1,each
30592,Fabrikal Clear 32oz Cups Kc32 (300 CT),Fabrikal,Fabrikal Clear  Cups Kc32 (32oz),300 ,1,each
55270,Scotch-Brite Quick Clean Griddle Liquid,Scotch,Scotch-Brite Quick Clean Griddle Liquid,1,1,each
761375,Sol Pak Clear PET Container With Lid 32oz 1 compartment Dlc032 (252 CT),Sol,Sol Pak Clear PET Container With Lid  1 compartment Dlc032 (32oz),252 ,1,each
56436,Plastic Lid Clear Lcrs-32 32z Slotted (600 CT),Plastic,Plastic Lid Clear Lcrs-32 32z Slotted ,600 ,1,each
57530,Skyline 33GAL Black Trash Bag/Can Liners Heavy Duty (100CT),Skyline,Skyline 33GAL Black Trash Bag/Can Liners Heavy Duty ,100,1,each
50105,NCCO Register Roll 1-Ply Thermal Paper #7313 (10CT) - 3/CS,NCCO,NCCO Register Roll 1-Ply Thermal Paper #7313  - ,10,1,each
51782,Libbey Hibal Gibraltar Glass 12z (36 CT),Libbey,Libbey Hibal Gibraltar Glass 12z ,36 ,1,each
51779,Libbey 15235 Tall Cooler Glasses 12 oz (36 CT),Libbey,Libbey 15235 Tall Cooler Glasses  (12 oz),36 ,1,each
59669,Chicken Honey Dipt 4pc ~,Chicken,Chicken Honey Dipt 4pc ~,1,1,each
55576,Bag Sandwich #Pb6 4.5x4. (2000 CT),Bag,Bag Sandwich #Pb6 4.5x4. ,2000 ,1,each
420004,Heineken 4x6pk 24ct 12oz Bottles,Heineken,Heineken 4x6pk 24ct 12oz Bottles,1,1,each
420598,Lagunitas IPA India Pale Ale 24/12oz,Lagunitas,Lagunitas IPA India Pale Ale 24/12oz,1,1,each
80732,Lagunitas IPA 12oz (24CT),Lagunitas,Lagunitas IPA  (12oz),24,1,each
761516,RE-48- rectangle plastic container,RE,RE-48- rectangle plastic container,1,1,each
30581,Fabri-Kal 4oz Portion Cups #PC400 (125CT) - 20/CS,Fabri,Fabri-Kal 4oz Portion Cups #PC400  - ,125,1,each
56437,International Paper Hot Cup 4oz SOHO Design SMR-4 (1000 CT),International,International Paper Hot Cup 4oz SOHO Design SMR-4 ,1000 ,1,each
460160,Bar Code Vodka 1 Liter - 12/CS,Bar,Bar Code Vodka 1 Liter ,1,1,each
79202,Sun-Dried Tomatoes Strips/Julienne - 5lb,Sun,Sun-Dried Tomatoes Strips/Julienne 5lb,1,1,each
30603,Fabrikal PC550 5.5oz Plastic Souffle Cup (125 CT) - 20/CS,Fabrikal,Fabrikal PC550  Plastic Souffle Cup  - (5.5oz),125 ,1,each
55626,"PattyWax 5.5""x5.5"" Patty Paper Heavy - 24/CS (1000CT)",PattyWax,"PattyWax 5.5""x5.5"" Patty Paper Heavy -  ",1000,1,each
55612,"BagCraft PattyWax Waxed Patty Paper 5.5""x5.5"" Heavy Weight (1000CT) - 24/CS",BagCraft,"BagCraft PattyWax Waxed Patty Paper 5.5""x5.5"" Heavy Weight  - ",1000,1,each
55614,Bag Foil Hot 1/2gl (500 CT),Bag,Bag Foil Hot 1/2gl ,500 ,1,each
